Time	spline
281	13.4010977744702
282	13.3263446637082
283	13.2592789011831
284	13.1851609699082
285	13.1055397923013
286	13.0285766340079
287	12.9509308581687
288	12.878900613723
289	12.8122952793679
290	12.7511962214444
291	12.653194916074
292	12.5466943298514
293	12.4362294120277
294	12.3412092510194
295	12.2431944765723
296	12.1575423622331
297	12.0651424781733
298	11.9544745220842
299	11.8320875583834
300	11.7119599147541
301	11.601313305537
302	11.498359694714
303	11.3941664651628
304	11.288099541327
305	11.1674886344923
306	11.0451533806722
307	10.9209568691678
308	10.7951879085082
309	10.682938825046
310	10.5608106776771
311	10.4432009407192
312	10.3176041141423
313	10.1779689866272
314	10.0368556503956
315	9.89647487197673
316	9.75423656661933
317	9.60653477868453
318	9.4533577353073
319	9.30639498144862
320	9.16948676051228
321	9.03375979920763
